"cond_id","N","degree","error.dist","data.normal","param","true_value","bias","rel_bias_pct","empirical_sd","mean_se","se_sd_ratio","rmse","coverage_95","convergence_rate","n_converged"
1,200,"degree2","general",TRUE,"Y~X",0.6,-0.00044632758250529,-0.0743879304175484,0.0534561052995205,0.0435497355749912,0.814682164571795,0.0534044875615968,0.892,1,500
2,500,"degree2","general",TRUE,"Y~X",0.6,0.0004417812171984,0.0736302028664001,0.0329967597043044,0.027888272060612,0.845182142444549,0.0329667066800054,0.9,1,500
3,1000,"degree2","general",TRUE,"Y~X",0.6,-0.000620131426378179,-0.103355237729696,0.0246913022073377,0.0196989082411953,0.797807587294493,0.0246743925329617,0.882,1,500
4,2000,"degree2","general",TRUE,"Y~X",0.6,-0.000637992486229533,-0.106332081038255,0.0169740518831589,0.0139369314295438,0.82107274830305,0.0169690670005747,0.892,1,500
5,200,"degree3","general",TRUE,"Y~X",0.5,0.0025638081426127,0.51276162852254,0.0576040480675749,0.0508837221870761,0.883335874718124,0.057603498272727,0.918,1,500
6,500,"degree3","general",TRUE,"Y~X",0.5,-0.000225380846854306,-0.0450761693708612,0.0354499647093408,0.0324245694301295,0.914657311960198,0.0354152141660028,0.926,1,500
7,1000,"degree3","general",TRUE,"Y~X",0.5,-0.0013158234747303,-0.263164694946061,0.0249842241800581,0.0230989335917344,0.924540759211226,0.0249938877804213,0.928,1,500
8,2000,"degree3","general",TRUE,"Y~X",0.5,-0.000413515894912675,-0.082703178982535,0.0169656537442457,0.0165079681890132,0.973022816442438,0.016953723353619,0.938,1,500
9,200,"degree4","general",TRUE,"Y~X",0.5,-4.03382009457331e-05,-0.00806764018914663,0.111042542690008,0.0797527350933042,0.718217839409045,0.110931451904582,0.838,1,500
10,500,"degree4","general",TRUE,"Y~X",0.5,-0.00357809550627619,-0.715619101255238,0.0728392144569591,0.053847688971019,0.739267843186829,0.0728542574448021,0.87,1,500
11,1000,"degree4","general",TRUE,"Y~X",0.5,-0.0018319070715066,-0.36638141430132,0.0487250588212967,0.0395385772033162,0.811462893217375,0.0487107686034945,0.874,1,500
12,2000,"degree4","general",TRUE,"Y~X",0.5,-0.00357886503934357,-0.715773007868714,0.0354538518229978,0.0289993146288087,0.81794538922278,0.0355987349893046,0.876,1,500
13,200,"complex","general",TRUE,"Y~X",0.5,-0.00692586153539965,-1.38517230707993,0.0710702176111608,0.0589135984099293,0.828949177168097,0.0713361159416651,0.892,1,500
14,500,"complex","general",TRUE,"Y~X",0.5,-0.0051464982832104,-1.02929965664208,0.049842272131176,0.0372592410936221,0.747542989123016,0.0500576670610497,0.842,1,500
15,1000,"complex","general",TRUE,"Y~X",0.5,-0.0002761605741744,-0.05523211483488,0.0344486410539962,0.0265948729113886,0.772015153506424,0.0344152831949538,0.862,1,500
16,2000,"complex","general",TRUE,"Y~X",0.5,-0.00125413845819422,-0.250827691638844,0.0239354859657631,0.019202152962997,0.80224621260932,0.0239444051233838,0.876,1,500
17,200,"degree2","normal",TRUE,"Y~X",0.6,0.00032630287528479,0.0543838125474649,0.056884824706711,0.0434419629135018,0.763682812375384,0.0568288482103572,0.878,1,500
18,500,"degree2","normal",TRUE,"Y~X",0.6,-7.17743408864546e-05,-0.0119623901477424,0.0325571799764023,0.0278499858320453,0.855417632983913,0.0325246856961882,0.888,1,500
19,1000,"degree2","normal",TRUE,"Y~X",0.6,-0.000678113656083723,-0.113018942680621,0.0237609270123891,0.0196479194619055,0.82690037521099,0.0237468382593067,0.902,1,500
20,2000,"degree2","normal",TRUE,"Y~X",0.6,0.000788366852489841,0.131394475414974,0.0161962633068007,0.0138942209600811,0.85786583589605,0.0161992539799559,0.902,1,500
21,200,"degree3","normal",TRUE,"Y~X",0.5,-0.0018014560921073,-0.36029121842146,0.0549249915918544,0.0513134158727921,0.934245311389398,0.0548996032409556,0.93,1,500
22,500,"degree3","normal",TRUE,"Y~X",0.5,-0.0014676108929384,-0.29352217858768,0.0358143100088893,0.0327187607111872,0.913566691723678,0.0358085653656087,0.922,1,500
23,1000,"degree3","normal",TRUE,"Y~X",0.5,-0.000694552378342206,-0.138910475668441,0.0236428257092787,0.0231098368044121,0.977456632662255,0.0236293809506418,0.938,1,500
24,2000,"degree3","normal",TRUE,"Y~X",0.5,0.000222926373328658,0.0445852746657316,0.0169076977970824,0.0165023379892375,0.976025132888595,0.0168922526761766,0.942,1,500
25,200,"degree4","normal",TRUE,"Y~X",0.5,-0.00197903302293656,-0.395806604587312,0.106953986817677,0.0805196249745667,0.752843604715989,0.106865305676395,0.868,1,500
26,500,"degree4","normal",TRUE,"Y~X",0.5,-0.00147966546656914,-0.295933093313827,0.0708388308842204,0.053870779343253,0.760469627615676,0.0707834238435387,0.864,1,500
27,1000,"degree4","normal",TRUE,"Y~X",0.5,-0.00108639649059422,-0.217279298118844,0.0535919060284703,0.0399144976918068,0.744785932237651,0.0535493087193069,0.864,1,500
28,2000,"degree4","normal",TRUE,"Y~X",0.5,0.00235033092525749,0.470066185051499,0.0363256332806597,0.0289945701673882,0.798184850443483,0.0363653211924865,0.87,1,500
29,200,"complex","normal",TRUE,"Y~X",0.5,-0.00522227597794289,-1.04445519558858,0.0748966084755707,0.0588563565962112,0.785834736634418,0.0750037007327667,0.864,1,500
30,500,"complex","normal",TRUE,"Y~X",0.5,-0.00279897376996424,-0.559794753992848,0.0455982961375368,0.0373949204457205,0.820094688032362,0.0456385851620113,0.884,1,500
31,1000,"complex","normal",TRUE,"Y~X",0.5,-0.00109192314719087,-0.218384629438173,0.0334804927302674,0.0268810124127629,0.802885806649485,0.0334648144001119,0.882,1,500
32,2000,"complex","normal",TRUE,"Y~X",0.5,-0.00238136904999831,-0.476273809999661,0.0238094106519602,0.0191375792623737,0.803782149088944,0.0239045012094956,0.864,1,500
33,200,"degree2","general",FALSE,"Y~X",0.6,0.00201276528808625,0.335460881347708,0.0531450679051303,0.045080533551958,0.848254322158956,0.0531300354814539,0.908,1,500
34,500,"degree2","general",FALSE,"Y~X",0.6,0.00174586279859923,0.290977133099872,0.0346557249985805,0.0292431748933055,0.843819452471515,0.0346650439713901,0.894,1,500
35,1000,"degree2","general",FALSE,"Y~X",0.6,0.000905580670781059,0.150930111796843,0.0249069217738499,0.0207251768320271,0.832105107977926,0.0248984762404343,0.89,1,500
36,2000,"degree2","general",FALSE,"Y~X",0.6,0.000660040391833205,0.110006731972201,0.0169840820003857,0.0146834499083762,0.864541863848912,0.0169799227510576,0.902,1,500
37,200,"degree3","general",FALSE,"Y~X",0.5,-0.00736640543154837,-1.47328108630967,0.0681182044511449,0.05715517120766,0.839058687294851,0.0684475969415628,0.892,1,500
38,500,"degree3","general",FALSE,"Y~X",0.5,0.00106006999220054,0.212013998440108,0.0443061860018314,0.0388891581036863,0.877736533270517,0.044274550140924,0.934,1,500
39,1000,"degree3","general",FALSE,"Y~X",0.5,-0.00206234916355424,-0.412469832710849,0.0311433019841751,0.0274182655269174,0.880390446101362,0.0311804222555273,0.924,1,500
40,2000,"degree3","general",FALSE,"Y~X",0.5,-0.00233466792580628,-0.466933585161255,0.0220626047154065,0.0203300746583131,0.921472098175081,0.0221638373053587,0.936,1,500
41,200,"degree4","general",FALSE,"Y~X",0.5,-0.0391730726697366,-7.83461453394733,0.250938603820949,0.157844635572149,0.629016951432372,0.253729722626697,0.804,1,500
42,500,"degree4","general",FALSE,"Y~X",0.5,-0.0286009099462797,-5.72018198925593,0.159110008372371,0.0980890420248367,0.616485682002325,0.161503482391194,0.846,1,500
43,1000,"degree4","general",FALSE,"Y~X",0.5,-0.0294229165647031,-5.88458331294063,0.0999131238520033,0.0737177779869563,0.737818768394741,0.104059478532249,0.834,1,500
44,2000,"degree4","general",FALSE,"Y~X",0.5,-0.00671727714693354,-1.34345542938671,0.07803897172361,0.059684225228886,0.7648002518571,0.0782497460553819,0.866,1,500
45,200,"complex","general",FALSE,"Y~X",0.5,-0.0186663715857489,-3.73327431714977,0.0969077170844204,0.0771853593666557,0.796483104636716,0.0985938986318641,0.878,1,500
46,500,"complex","general",FALSE,"Y~X",0.5,-0.0106768612415176,-2.13537224830351,0.0592817826497475,0.047234420996063,0.796778013156866,0.0601772088135888,0.888,1,500
47,1000,"complex","general",FALSE,"Y~X",0.5,-0.0042477253607528,-0.849545072150559,0.0421608316211998,0.0343543929381318,0.814841444466608,0.0423323023503986,0.896,1,500
48,2000,"complex","general",FALSE,"Y~X",0.5,-0.00138915679973406,-0.277831359946812,0.0302632545260219,0.0254799002103039,0.841941840339578,0.0302648740617241,0.906,1,500
49,200,"degree2","normal",FALSE,"Y~X",0.6,-0.00139814823071982,-0.23302470511997,0.0535109865381017,0.0457184660501967,0.85437531632207,0.0534757295171876,0.898,1,500
50,500,"degree2","normal",FALSE,"Y~X",0.6,7.59232823044353e-05,0.0126538803840726,0.0347376300645758,0.0290928406574092,0.837502172811641,0.0347029581010483,0.9,1,500
51,1000,"degree2","normal",FALSE,"Y~X",0.6,0.00210205150944998,0.350341918241663,0.0243899996301982,0.0207770099334257,0.851865938845726,0.0244561026810391,0.898,1,500
52,2000,"degree2","normal",FALSE,"Y~X",0.6,-0.00191832211438803,-0.319720352398005,0.0160987109944449,0.0146915493799486,0.912591659358201,0.0161966082383271,0.918,1,500
53,200,"degree3","normal",FALSE,"Y~X",0.5,-0.00509131722755279,-1.01826344551056,0.0684156844400152,0.0584339339958204,0.854101431186492,0.068536603189482,0.898,1,500
54,500,"degree3","normal",FALSE,"Y~X",0.5,-0.00276924438825465,-0.553848877650931,0.0433214814400203,0.0383015369774943,0.884123434941247,0.0433666457906487,0.918,1,500
55,1000,"degree3","normal",FALSE,"Y~X",0.5,-0.0016458275283095,-0.329165505661899,0.0306781889093237,0.0273260075302093,0.890730792843655,0.0306916555509732,0.908,1,500
56,2000,"degree3","normal",FALSE,"Y~X",0.5,-0.0025691525658833,-0.513830513176661,0.0223281930896154,0.0203270058237571,0.910373971694599,0.022453321695033,0.916,1,500
57,200,"degree4","normal",FALSE,"Y~X",0.5,-0.0457863260280326,-9.15726520560651,0.280831381449799,0.180959383559995,0.644370236067591,0.284262062063395,0.834,1,500
58,500,"degree4","normal",FALSE,"Y~X",0.5,-0.0317183921487874,-6.34367842975747,0.126089072228684,0.0924920329532091,0.733545194031242,0.129895010018567,0.834,1,500
59,1000,"degree4","normal",FALSE,"Y~X",0.5,-0.023092252318187,-4.61845046363739,0.0974058264873807,0.0721019229054308,0.740221868706918,0.100010856214459,0.866,1,500
60,2000,"degree4","normal",FALSE,"Y~X",0.5,-0.0150597313747238,-3.01194627494475,0.0764852242116562,0.059172917563649,0.773651619297093,0.0778786559510419,0.862,1,500
61,200,"complex","normal",FALSE,"Y~X",0.5,-0.0182617519159673,-3.65235038319346,0.0920198597043189,0.0743814845381525,0.808319908084596,0.0937241209821829,0.898,1,500
62,500,"complex","normal",FALSE,"Y~X",0.5,-0.00847909835483168,-1.69581967096634,0.0643248693062828,0.0471787826163451,0.733445448473488,0.0648175018228775,0.872,1,500
63,1000,"complex","normal",FALSE,"Y~X",0.5,-0.0061569395740444,-1.23138791480888,0.0411290304364286,0.0341740027630443,0.830897358882934,0.0415466226698371,0.9,1,500
64,2000,"complex","normal",FALSE,"Y~X",0.5,-0.00510742581934837,-1.02148516386967,0.0318526497854918,0.0254426833847327,0.798761910110264,0.0322280609758114,0.86,1,500
13,200,"complex","general",TRUE,"Y~X:X",0.2,0.00286576416963824,1.43288208481912,0.0395761495438874,0.0374265704623884,0.945684986885466,0.0396402784270076,0.92,1,500
14,500,"complex","general",TRUE,"Y~X:X",0.2,0.00125017977132663,0.625089885663316,0.0254343046007917,0.0237426305228504,0.933488487124252,0.0254395949709392,0.932,1,500
15,1000,"complex","general",TRUE,"Y~X:X",0.2,0.000623092408872927,0.311546204436464,0.0178082133355617,0.0168673266698028,0.947165577588851,0.0178013044867634,0.934,1,500
16,2000,"complex","general",TRUE,"Y~X:X",0.2,0.000858133650356446,0.429066825178223,0.0124399266839982,0.0120297481351223,0.967027253512391,0.012457072919162,0.938,1,500
29,200,"complex","normal",TRUE,"Y~X:X",0.2,0.00144838450157767,0.724192250788833,0.0413790260738382,0.037084612551932,0.896217626914584,0.0413629927457644,0.9,1,500
30,500,"complex","normal",TRUE,"Y~X:X",0.2,7.01285124991846e-05,0.0350642562495923,0.0268156278552391,0.0236918988686667,0.883510876439835,0.0267888905982386,0.922,1,500
31,1000,"complex","normal",TRUE,"Y~X:X",0.2,0.00091134779734578,0.45567389867289,0.017937306482578,0.0170566875152464,0.950905730010973,0.0179425200217239,0.928,1,500
32,2000,"complex","normal",TRUE,"Y~X:X",0.2,0.00077677481315816,0.38838740657908,0.0121838047216082,0.0119827386354959,0.983497266190113,0.012196375953932,0.946,1,500
45,200,"complex","general",FALSE,"Y~X:X",0.2,0.00240953818078668,1.20476909039334,0.0504626037376035,0.0403228201758445,0.79906340912403,0.0504696671424639,0.872,1,500
46,500,"complex","general",FALSE,"Y~X:X",0.2,0.00186154959974738,0.93077479987369,0.0308485250271528,0.0259549922423303,0.841368986669048,0.0308738335855865,0.908,1,500
47,1000,"complex","general",FALSE,"Y~X:X",0.2,0.00226447297711305,1.13223648855652,0.0209911888977414,0.0185411062146798,0.883280423276774,0.0210920977899795,0.906,1,500
48,2000,"complex","general",FALSE,"Y~X:X",0.2,0.000422680823965377,0.211340411982688,0.0159322634792566,0.0138455631208611,0.869026748075546,0.0159219347006655,0.906,1,500
61,200,"complex","normal",FALSE,"Y~X:X",0.2,0.00459343278332577,2.29671639166289,0.0494759951044858,0.0397949011942652,0.804327454358915,0.0496394799341298,0.88,1,500
62,500,"complex","normal",FALSE,"Y~X:X",0.2,0.00288058915612641,1.4402945780632,0.0300346167240397,0.0250547671449205,0.834196333355127,0.0301425254290817,0.886,1,500
63,1000,"complex","normal",FALSE,"Y~X:X",0.2,0.00316644861906554,1.58322430953277,0.0209630244625687,0.0185557995082297,0.885168051077872,0.0211800824995135,0.93,1,500
64,2000,"complex","normal",FALSE,"Y~X:X",0.2,0.00131546298364574,0.657731491822869,0.0153875658634578,0.0140043529802196,0.910108402101269,0.0154283528510723,0.92,1,500
9,200,"degree4","general",TRUE,"Y~X:X:X:Z",0.3,0.0182194923050438,6.07316410168126,0.0598089637931453,0.0468428343382424,0.783207589087357,0.062465252945644,0.846,1,500
10,500,"degree4","general",TRUE,"Y~X:X:X:Z",0.3,0.00892600100757063,2.97533366919021,0.0412820393640194,0.0323723324315363,0.784174738706134,0.0421956378609389,0.86,1,500
11,1000,"degree4","general",TRUE,"Y~X:X:X:Z",0.3,0.00446757630693639,1.48919210231213,0.0292973979075851,0.0254465357036267,0.868559582796212,0.0296070952166092,0.894,1,500
12,2000,"degree4","general",TRUE,"Y~X:X:X:Z",0.3,0.00305334692750309,1.0177823091677,0.0207514512898409,0.0200757306271397,0.967437426266565,0.0209543411405146,0.922,1,500
25,200,"degree4","normal",TRUE,"Y~X:X:X:Z",0.3,0.0166511720760374,5.55039069201248,0.0601196414502875,0.046071508619443,0.766330395658451,0.0623249875815528,0.87,1,500
26,500,"degree4","normal",TRUE,"Y~X:X:X:Z",0.3,0.0066379831462347,2.2126610487449,0.039286029492862,0.0332097826988501,0.845333140751323,0.0398041222656283,0.872,1,500
27,1000,"degree4","normal",TRUE,"Y~X:X:X:Z",0.3,0.00403446469790258,1.34482156596753,0.0283336283572101,0.0259875369418577,0.917197635764307,0.0285913590493938,0.908,1,500
28,2000,"degree4","normal",TRUE,"Y~X:X:X:Z",0.3,0.00326650494334269,1.08883498111423,0.0222296042329392,0.0202707700856329,0.911881735420025,0.0224463148042008,0.912,1,500
41,200,"degree4","general",FALSE,"Y~X:X:X:Z",0.3,0.0256294276168021,8.54314253893405,0.21212329879546,0.106140227038016,0.500370433803039,0.213455308821423,0.71,1,500
42,500,"degree4","general",FALSE,"Y~X:X:X:Z",0.3,0.0198076294322602,6.60254314408672,0.0689703978016256,0.038065961883306,0.551917389149941,0.0716920087952234,0.698,1,500
43,1000,"degree4","general",FALSE,"Y~X:X:X:Z",0.3,0.0112998862796588,3.76662875988628,0.0423863316859868,0.025434413882046,0.60006169136016,0.0438257383451793,0.692,1,500
44,2000,"degree4","general",FALSE,"Y~X:X:X:Z",0.3,0.0056159296568854,1.87197655229513,0.0330306855696675,0.0217302053801593,0.657879332668603,0.0334721197825134,0.766,1,500
57,200,"degree4","normal",FALSE,"Y~X:X:X:Z",0.3,0.0436030118727844,14.5343372909281,0.233084211299206,0.129195070262182,0.554284949383968,0.236898323553032,0.692,1,500
58,500,"degree4","normal",FALSE,"Y~X:X:X:Z",0.3,0.0177956260482203,5.93187534940678,0.0570455508810177,0.0333950564941133,0.585410360288513,0.0597023516456114,0.686,1,500
59,1000,"degree4","normal",FALSE,"Y~X:X:X:Z",0.3,0.012977592133608,4.325864044536,0.0430493796003202,0.0263421646897937,0.611905791311282,0.0449217150539782,0.738,1,500
60,2000,"degree4","normal",FALSE,"Y~X:X:X:Z",0.3,0.00550817322582103,1.83605774194034,0.0345665298548995,0.0218911142159376,0.63330378570919,0.0349684896517263,0.774,1,500
5,200,"degree3","general",TRUE,"Y~X:X:Z",0.3,0.00527159502307784,1.75719834102595,0.0566481698729826,0.0458442407659089,0.809280173899731,0.0568364920957101,0.86,1,500
6,500,"degree3","general",TRUE,"Y~X:X:Z",0.3,0.00237017437016573,0.790058123388578,0.0339591206585473,0.0318609978452676,0.938216220779802,0.0340078396652149,0.918,1,500
7,1000,"degree3","general",TRUE,"Y~X:X:Z",0.3,0.00137408143009948,0.458027143366494,0.0249898612567745,0.0232308527915175,0.929611115196564,0.0250026454415951,0.912,1,500
8,2000,"degree3","general",TRUE,"Y~X:X:Z",0.3,0.000514815204423924,0.171605068141308,0.0177046609348062,0.0171355758379627,0.967856763880482,0.0176944382073443,0.936,1,500
21,200,"degree3","normal",TRUE,"Y~X:X:Z",0.3,0.00910903768642807,3.03634589547602,0.0560388485595964,0.0463781271025277,0.827606710248611,0.0567190127766905,0.874,1,500
22,500,"degree3","normal",TRUE,"Y~X:X:Z",0.3,0.0032408739245921,1.08029130819737,0.0342684750743072,0.0315938418653389,0.921950620704054,0.0343872504126992,0.908,1,500
23,1000,"degree3","normal",TRUE,"Y~X:X:Z",0.3,0.000645897424797814,0.215299141599271,0.0249614082565776,0.0228308124074445,0.914644405186087,0.0249447978911555,0.91,1,500
24,2000,"degree3","normal",TRUE,"Y~X:X:Z",0.3,0.00119103775181489,0.397012583938298,0.0177650173234789,0.0168056281539322,0.945995596172108,0.0177871644662309,0.924,1,500
37,200,"degree3","general",FALSE,"Y~X:X:Z",0.3,0.0156231149861272,5.20770499537572,0.0735334623524664,0.0444387439360254,0.604333626003059,0.0751028459330288,0.74,1,500
38,500,"degree3","general",FALSE,"Y~X:X:Z",0.3,0.00549007532360762,1.83002510786921,0.0422361137285843,0.0286101068969396,0.677384928944753,0.0425495293904293,0.79,1,500
39,1000,"degree3","general",FALSE,"Y~X:X:Z",0.3,0.00415074840015706,1.38358280005235,0.0305723303926692,0.0208352031692208,0.681505233706908,0.030822504167388,0.788,1,500
40,2000,"degree3","general",FALSE,"Y~X:X:Z",0.3,0.00308857445777266,1.02952481925755,0.0224547656629476,0.0167721814742519,0.746931930887506,0.0226439254582137,0.812,1,500
53,200,"degree3","normal",FALSE,"Y~X:X:Z",0.3,0.0148280440626249,4.94268135420832,0.0742953262805304,0.0453602425654165,0.610539650827315,0.0756876925717739,0.726,1,500
54,500,"degree3","normal",FALSE,"Y~X:X:Z",0.3,0.00816788476263425,2.72262825421142,0.0418940234440223,0.0278763194496617,0.665400865278775,0.042641685278883,0.758,1,500
55,1000,"degree3","normal",FALSE,"Y~X:X:Z",0.3,0.00343641308995624,1.14547102998541,0.0297195665904213,0.0212512339614127,0.715058676806613,0.0298880422237835,0.802,1,500
56,2000,"degree3","normal",FALSE,"Y~X:X:Z",0.3,0.00279138764762099,0.930462549206997,0.0228472121325415,0.0173750895647132,0.760490578190315,0.0229944114302624,0.842,1,500
1,200,"degree2","general",TRUE,"Y~X:Z",0.3,-0.000552780558460475,-0.184260186153492,0.0489298713532814,0.0440601763970683,0.900476031889535,0.0488840425125949,0.926,1,500
2,500,"degree2","general",TRUE,"Y~X:Z",0.3,0.00030965584285858,0.103218614286193,0.0289021329552088,0.0281002458377515,0.972255088622697,0.0288748767880118,0.93,1,500
3,1000,"degree2","general",TRUE,"Y~X:Z",0.3,-0.00141323226180418,-0.471077420601392,0.0198510921197183,0.019744797555033,0.994645404693895,0.0198815228806713,0.936,1,500
4,2000,"degree2","general",TRUE,"Y~X:Z",0.3,-0.000771909785478198,-0.257303261826066,0.0146052779456212,0.0140076804965223,0.959083459327249,0.0146110697862281,0.934,1,500
13,200,"complex","general",TRUE,"Y~X:Z",0.3,0.00244047428351507,0.813491427838357,0.064456106823746,0.0563079984310078,0.873586712039264,0.0644378494534765,0.906,1,500
14,500,"complex","general",TRUE,"Y~X:Z",0.3,0.00161115721579991,0.537052405266636,0.0411692388853486,0.0359222595517309,0.872550975541959,0.041159594817152,0.906,1,500
15,1000,"complex","general",TRUE,"Y~X:Z",0.3,-0.000494352137747567,-0.164784045915856,0.0308441143408229,0.0255654022963928,0.828858368695526,0.030817220100569,0.892,1,500
